part_number,model,light_type,buzzer,voltage,color,mount,ip,db,ma,weight,size,pdf_page,description,source_url,source_page,source_title,category_name,row_no,data_model,data_voltage,data_color,data_ip,data_pl_id,search_text,validation_status
EQ100-BZ-220-B,EQ100-BZ,LED Simulated Rev,-,AC220V,Blue,-,IP44,-,160,0.3,Ø100,84,Đèn mô phỏng xoay EQ100-BZ,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",944,EQ100-BZ,AC220V,Blue,IP44,25,"eq100-bz-220-b eq100-bz 25 led simulated rev 220 ac220v b blue 160 0.3 ø100 ip44 84 pdf đèn mô phỏng xoay eq100-bz eq100 eq100,eq100-bz signal beacons simulated revolving",imported_from_live_site
EQ100-BZ-220-G,EQ100-BZ,LED Simulated Rev,-,AC220V,Green,-,IP44,-,160,0.3,Ø100,84,Đèn mô phỏng xoay EQ100-BZ,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",942,EQ100-BZ,AC220V,Green,IP44,25,"eq100-bz-220-g eq100-bz 25 led simulated rev 220 ac220v g green 160 0.3 ø100 ip44 84 pdf đèn mô phỏng xoay eq100-bz eq100 eq100,eq100-bz signal beacons simulated revolving",imported_from_live_site
EQ100-BZ-220-R,EQ100-BZ,LED Simulated Rev,-,AC220V,Red,-,IP44,-,160,0.3,Ø100,84,Đèn mô phỏng xoay EQ100-BZ,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",941,EQ100-BZ,AC220V,Red,IP44,25,"eq100-bz-220-r eq100-bz 25 led simulated rev 220 ac220v r red 160 0.3 ø100 ip44 84 pdf đèn mô phỏng xoay eq100-bz eq100 eq100,eq100-bz signal beacons simulated revolving",imported_from_live_site
EQ100-BZ-24-A,EQ100-BZ,LED Simulated Rev,-,DC24V,Amber,-,IP44,-,95,0.3,Ø100,84,Đèn mô phỏng xoay EQ100-BZ,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",939,EQ100-BZ,DC24V,Amber,IP44,25,"eq100-bz-24-a eq100-bz 25 led simulated rev 24 dc24v a amber 95 0.3 ø100 ip44 84 pdf đèn mô phỏng xoay eq100-bz eq100 eq100,eq100-bz signal beacons simulated revolving",imported_from_live_site
EQ100-BZ-24-B,EQ100-BZ,LED Simulated Rev,-,DC24V,Blue,-,IP44,-,95,0.3,Ø100,84,Đèn mô phỏng xoay EQ100-BZ,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",940,EQ100-BZ,DC24V,Blue,IP44,25,"eq100-bz-24-b eq100-bz 25 led simulated rev 24 dc24v b blue 95 0.3 ø100 ip44 84 pdf đèn mô phỏng xoay eq100-bz eq100 eq100,eq100-bz signal beacons simulated revolving",imported_from_live_site
EQ100-BZ-24-G,EQ100-BZ,LED Simulated Rev,-,DC24V,Green,-,IP44,-,95,0.3,Ø100,84,Đèn mô phỏng xoay EQ100-BZ,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",938,EQ100-BZ,DC24V,Green,IP44,25,"eq100-bz-24-g eq100-bz 25 led simulated rev 24 dc24v g green 95 0.3 ø100 ip44 84 pdf đèn mô phỏng xoay eq100-bz eq100 eq100,eq100-bz signal beacons simulated revolving",imported_from_live_site
EQ100-BZ-24-R,EQ100-BZ,LED Simulated Rev,-,DC24V,Red,-,IP44,-,95,0.3,Ø100,84,Đèn mô phỏng xoay EQ100-BZ,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",937,EQ100-BZ,DC24V,Red,IP44,25,"eq100-bz-24-r eq100-bz 25 led simulated rev 24 dc24v r red 95 0.3 ø100 ip44 84 pdf đèn mô phỏng xoay eq100-bz eq100 eq100,eq100-bz signal beacons simulated revolving",imported_from_live_site
MFL100-110/220-A,MFL100,LED Multi-function,-,AC110V-220V,Amber,-,IP65,-,90,-,Ø100,90-91,Đèn LED đa chức năng MFL100,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",967,MFL100,AC110V-220V,Amber,IP65,26,"mfl100-110/220-a mfl100 26 led multi-function 110/220 ac110v-220v a amber 90 ø100 ip65 90-91 pdf đèn led đa chức năng mfl100 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL100-110/220-B,MFL100,LED Multi-function,-,AC110V-220V,Blue,-,IP65,-,90,-,Ø100,90-91,Đèn LED đa chức năng MFL100,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",968,MFL100,AC110V-220V,Blue,IP65,26,"mfl100-110/220-b mfl100 26 led multi-function 110/220 ac110v-220v b blue 90 ø100 ip65 90-91 pdf đèn led đa chức năng mfl100 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL100-110/220-G,MFL100,LED Multi-function,-,AC110V-220V,Green,-,IP65,-,90,-,Ø100,90-91,Đèn LED đa chức năng MFL100,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",966,MFL100,AC110V-220V,Green,IP65,26,"mfl100-110/220-g mfl100 26 led multi-function 110/220 ac110v-220v g green 90 ø100 ip65 90-91 pdf đèn led đa chức năng mfl100 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL100-110/220-R,MFL100,LED Multi-function,-,AC110V-220V,Red,-,IP65,-,90,-,Ø100,90-91,Đèn LED đa chức năng MFL100,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",965,MFL100,AC110V-220V,Red,IP65,26,"mfl100-110/220-r mfl100 26 led multi-function 110/220 ac110v-220v r red 90 ø100 ip65 90-91 pdf đèn led đa chức năng mfl100 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL100-12/24-A,MFL100,LED Multi-function,-,DC12V-24V,Amber,-,IP65,-,118,-,Ø100,90-91,Đèn LED đa chức năng MFL100,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",963,MFL100,DC12V-24V,Amber,IP65,26,"mfl100-12/24-a mfl100 26 led multi-function 12/24 dc12v-24v a amber 118 ø100 ip65 90-91 pdf đèn led đa chức năng mfl100 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL100-12/24-B,MFL100,LED Multi-function,-,DC12V-24V,Blue,-,IP65,-,118,-,Ø100,90-91,Đèn LED đa chức năng MFL100,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",964,MFL100,DC12V-24V,Blue,IP65,26,"mfl100-12/24-b mfl100 26 led multi-function 12/24 dc12v-24v b blue 118 ø100 ip65 90-91 pdf đèn led đa chức năng mfl100 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL100-12/24-G,MFL100,LED Multi-function,-,DC12V-24V,Green,-,IP65,-,118,-,Ø100,90-91,Đèn LED đa chức năng MFL100,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",962,MFL100,DC12V-24V,Green,IP65,26,"mfl100-12/24-g mfl100 26 led multi-function 12/24 dc12v-24v g green 118 ø100 ip65 90-91 pdf đèn led đa chức năng mfl100 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL100-12/24-R,MFL100,LED Multi-function,-,DC12V-24V,Red,-,IP65,-,118,-,Ø100,90-91,Đèn LED đa chức năng MFL100,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",961,MFL100,DC12V-24V,Red,IP65,26,"mfl100-12/24-r mfl100 26 led multi-function 12/24 dc12v-24v r red 118 ø100 ip65 90-91 pdf đèn led đa chức năng mfl100 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL125-110/220-A,MFL125,LED Multi-function,-,AC110V-220V,Amber,-,IP65,-,90,-,Ø125,90-91,Đèn LED đa chức năng MFL125,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",975,MFL125,AC110V-220V,Amber,IP65,26,"mfl125-110/220-a mfl125 26 led multi-function 110/220 ac110v-220v a amber 90 ø125 ip65 90-91 pdf đèn led đa chức năng mfl125 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL125-110/220-B,MFL125,LED Multi-function,-,AC110V-220V,Blue,-,IP65,-,90,-,Ø125,90-91,Đèn LED đa chức năng MFL125,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",976,MFL125,AC110V-220V,Blue,IP65,26,"mfl125-110/220-b mfl125 26 led multi-function 110/220 ac110v-220v b blue 90 ø125 ip65 90-91 pdf đèn led đa chức năng mfl125 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL125-110/220-G,MFL125,LED Multi-function,-,AC110V-220V,Green,-,IP65,-,90,-,Ø125,90-91,Đèn LED đa chức năng MFL125,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",974,MFL125,AC110V-220V,Green,IP65,26,"mfl125-110/220-g mfl125 26 led multi-function 110/220 ac110v-220v g green 90 ø125 ip65 90-91 pdf đèn led đa chức năng mfl125 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL125-110/220-R,MFL125,LED Multi-function,-,AC110V-220V,Red,-,IP65,-,90,-,Ø125,90-91,Đèn LED đa chức năng MFL125,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",973,MFL125,AC110V-220V,Red,IP65,26,"mfl125-110/220-r mfl125 26 led multi-function 110/220 ac110v-220v r red 90 ø125 ip65 90-91 pdf đèn led đa chức năng mfl125 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL125-12/24-A,MFL125,LED Multi-function,-,DC12V-24V,Amber,-,IP65,-,118,-,Ø125,90-91,Đèn LED đa chức năng MFL125,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",971,MFL125,DC12V-24V,Amber,IP65,26,"mfl125-12/24-a mfl125 26 led multi-function 12/24 dc12v-24v a amber 118 ø125 ip65 90-91 pdf đèn led đa chức năng mfl125 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL125-12/24-B,MFL125,LED Multi-function,-,DC12V-24V,Blue,-,IP65,-,118,-,Ø125,90-91,Đèn LED đa chức năng MFL125,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",972,MFL125,DC12V-24V,Blue,IP65,26,"mfl125-12/24-b mfl125 26 led multi-function 12/24 dc12v-24v b blue 118 ø125 ip65 90-91 pdf đèn led đa chức năng mfl125 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL125-12/24-G,MFL125,LED Multi-function,-,DC12V-24V,Green,-,IP65,-,118,-,Ø125,90-91,Đèn LED đa chức năng MFL125,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",970,MFL125,DC12V-24V,Green,IP65,26,"mfl125-12/24-g mfl125 26 led multi-function 12/24 dc12v-24v g green 118 ø125 ip65 90-91 pdf đèn led đa chức năng mfl125 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL125-12/24-R,MFL125,LED Multi-function,-,DC12V-24V,Red,-,IP65,-,118,-,Ø125,90-91,Đèn LED đa chức năng MFL125,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",969,MFL125,DC12V-24V,Red,IP65,26,"mfl125-12/24-r mfl125 26 led multi-function 12/24 dc12v-24v r red 118 ø125 ip65 90-91 pdf đèn led đa chức năng mfl125 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL60-110/220-A,MFL60,LED Multi-function,-,AC110V-220V,Amber,-,IP65,-,90,-,Ø60,90-91,Đèn LED đa chức năng MFL60,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",951,MFL60,AC110V-220V,Amber,IP65,26,"mfl60-110/220-a mfl60 26 led multi-function 110/220 ac110v-220v a amber 90 ø60 ip65 90-91 pdf đèn led đa chức năng mfl60 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL60-110/220-B,MFL60,LED Multi-function,-,AC110V-220V,Blue,-,IP65,-,90,-,Ø60,90-91,Đèn LED đa chức năng MFL60,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",952,MFL60,AC110V-220V,Blue,IP65,26,"mfl60-110/220-b mfl60 26 led multi-function 110/220 ac110v-220v b blue 90 ø60 ip65 90-91 pdf đèn led đa chức năng mfl60 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL60-110/220-G,MFL60,LED Multi-function,-,AC110V-220V,Green,-,IP65,-,90,-,Ø60,90-91,Đèn LED đa chức năng MFL60,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",950,MFL60,AC110V-220V,Green,IP65,26,"mfl60-110/220-g mfl60 26 led multi-function 110/220 ac110v-220v g green 90 ø60 ip65 90-91 pdf đèn led đa chức năng mfl60 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL60-110/220-R,MFL60,LED Multi-function,-,AC110V-220V,Red,-,IP65,-,90,-,Ø60,90-91,Đèn LED đa chức năng MFL60,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",949,MFL60,AC110V-220V,Red,IP65,26,"mfl60-110/220-r mfl60 26 led multi-function 110/220 ac110v-220v r red 90 ø60 ip65 90-91 pdf đèn led đa chức năng mfl60 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL60-12/24-A,MFL60,LED Multi-function,-,DC12V-24V,Amber,-,IP65,-,118,-,Ø60,90-91,Đèn LED đa chức năng MFL60,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",947,MFL60,DC12V-24V,Amber,IP65,26,"mfl60-12/24-a mfl60 26 led multi-function 12/24 dc12v-24v a amber 118 ø60 ip65 90-91 pdf đèn led đa chức năng mfl60 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL60-12/24-B,MFL60,LED Multi-function,-,DC12V-24V,Blue,-,IP65,-,118,-,Ø60,90-91,Đèn LED đa chức năng MFL60,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",948,MFL60,DC12V-24V,Blue,IP65,26,"mfl60-12/24-b mfl60 26 led multi-function 12/24 dc12v-24v b blue 118 ø60 ip65 90-91 pdf đèn led đa chức năng mfl60 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL60-12/24-G,MFL60,LED Multi-function,-,DC12V-24V,Green,-,IP65,-,118,-,Ø60,90-91,Đèn LED đa chức năng MFL60,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",946,MFL60,DC12V-24V,Green,IP65,26,"mfl60-12/24-g mfl60 26 led multi-function 12/24 dc12v-24v g green 118 ø60 ip65 90-91 pdf đèn led đa chức năng mfl60 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL60-12/24-R,MFL60,LED Multi-function,-,DC12V-24V,Red,-,IP65,-,118,-,Ø60,90-91,Đèn LED đa chức năng MFL60,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",945,MFL60,DC12V-24V,Red,IP65,26,"mfl60-12/24-r mfl60 26 led multi-function 12/24 dc12v-24v r red 118 ø60 ip65 90-91 pdf đèn led đa chức năng mfl60 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
MFL80-110/220-A,MFL80,LED Multi-function,-,AC110V-220V,Amber,-,IP65,-,90,-,Ø80,90-91,Đèn LED đa chức năng MFL80,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",959,MFL80,AC110V-220V,Amber,IP65,26,"mfl80-110/220-a mfl80 26 led multi-function 110/220 ac110v-220v a amber 90 ø80 ip65 90-91 pdf đèn led đa chức năng mfl80 mfl mfl60,mfl80,mfl100,mfl125 signal beacons multi-function led",imported_from_live_site
